,Open,High,Low,Last,Date
2,1560.86,1570,1555.96,1570,2015-04-16
3,1572.88,1575.39,1566.65,1566.85,2015-04-17
4,1565.67,1567.04,1556.25,1560.32,2015-04-20
5,1566.35,1572.04,1565.3,1569.35,2015-04-21
6,1571.15,1571.5,1552,1552.01,2015-04-22
7,1556.61,1562.32,1543.47,1544.84,2015-04-23
8,1549.68,1556.1,1545.83,1555.46,2015-04-24
9,1559.2,1562.64,1546.66,1548.83,2015-04-27
10,1549.2,1549.53,1525.92,1531.53,2015-04-28
11,1521.55,1529.29,1513.42,1522.47,2015-04-29
12,1520.55,1531.5,1520.01,1526.74,2015-04-30
13,1529.56,1531.75,1514.79,1519.88,2015-05-06
14,1514.84,1521.86,1498.31,1498.31,2015-05-07
15,1502.29,1514.64,1494.92,1510.51,2015-05-08
16,1517.05,1520.49,1501.3,1501.3,2015-05-11
17,1499.28,1501.12,1478.9,1485.72,2015-05-12
18,1490.93,1497.02,1487.46,1495.95,2015-05-13
19,1496.2,1500.38,1484.95,1497.4,2015-05-14
20,1496.98,1512.19,1494.79,1512.19,2015-05-15
21,1510.21,1515.65,1505.67,1510.41,2015-05-18
22,1513.83,1527.6,1513.13,1525.96,2015-05-19
23,1527.65,1530.85,1518.38,1520.11,2015-05-20
24,1523.33,1529.94,1522.59,1526.25,2015-05-21
25,1533.17,1536.3,1522.06,1523.86,2015-05-22
26,1526.3,1528.13,1508.16,1508.16,2015-05-25
27,1508.12,1513.02,1497.98,1497.98,2015-05-26
28,1491.43,1501.61,1486.63,1500.84,2015-05-27
29,1502.49,1503.38,1487.15,1493.61,2015-05-28
30,1495.64,1500.5,1491.57,1496.05,2015-05-29
31,1492.45,1494.19,1476.28,1476.87,2015-06-02
32,1480.36,1487.38,1477.15,1482.07,2015-06-03
33,1484.57,1491.81,1476.16,1490.9,2015-06-04
34,1490.51,1509.06,1490.29,1507.37,2015-06-05
35,1507.72,1511.5,1501.62,1508.28,2015-06-08
36,1504.59,1505.23,1490.64,1492.32,2015-06-09
37,1496.65,1510.68,1496.37,1504.04,2015-06-10
38,1512.95,1518.34,1510.74,1514.81,2015-06-11
39,1515.64,1517.1,1506.69,1508.23,2015-06-12
40,1507.05,1507.66,1496.76,1501.89,2015-06-15
41,1502.26,1507.93,1501.28,1503.28,2015-06-16
42,1507.23,1516.52,1504.16,1514.79,2015-06-17
43,1517.13,1518.44,1506.57,1508.04,2015-06-18
44,1507.6,1508.19,1488.07,1491.46,2015-06-19
45,1492.55,1509.39,1492.18,1504.06,2015-06-22
46,1512.23,1513.31,1500.97,1503.23,2015-06-23
47,1507.39,1518.61,1506.72,1518.26,2015-06-24
48,1517.35,1523.42,1512.76,1519.47,2015-06-25
49,1520.92,1524.59,1516.96,1518.03,2015-06-26
50,1501.03,1516.93,1495.86,1511.19,2015-06-29
51,1510.18,1512.65,1499.15,1504.55,2015-06-30
52,1504.72,1505.41,1490.8,1491.62,2015-07-02
53,1490.44,1495.37,1485.5,1489.59,2015-07-03
54,1479.81,1482.23,1470.37,1473.23,2015-07-06
55,1477.16,1484.9,1475.88,1483.77,2015-07-07
56,1476.01,1478.97,1466.74,1470.25,2015-07-08
57,1469.59,1479.28,1461.57,1472.57,2015-07-09
58,1482.18,1486.29,1476.91,1484.9,2015-07-10
59,1484.52,1493.63,1480.64,1490.65,2015-07-13
60,1493.39,1494.96,1487.01,1488.4,2015-07-14
61,1490.99,1496.17,1486.74,1486.74,2015-07-15
62,1488.97,1490.62,1476.43,1481.26,2015-07-16
63,1482.61,1484.25,1476.9,1479.31,2015-07-17
64,1480.12,1481.27,1466.64,1466.71,2015-07-20
65,1467.61,1468.25,1442.79,1447.44,2015-07-21
66,1441.38,1449.53,1432.58,1447.84,2015-07-22
67,1447.16,1453.47,1444.21,1444.66,2015-07-23
68,1440.78,1441.92,1433.01,1438.08,2015-07-24
69,1431.86,1433.95,1410.72,1412.55,2015-07-27
70,1416.02,1422.38,1401.13,1408.07,2015-07-28
71,1413.96,1419.07,1401.06,1417.49,2015-07-29
72,1424.01,1440.12,1423.14,1440.12,2015-07-31
73,1435.62,1442.16,1432.1,1442.04,2015-08-03
74,1438.67,1439.06,1428.52,1432.16,2015-08-04
75,1438.16,1441.38,1433.84,1436.36,2015-08-05
76,1436.66,1439.22,1428.53,1430.58,2015-08-06
77,1429.92,1433.15,1426.95,1428.79,2015-08-07
78,1423.3,1425.63,1418.89,1420.13,2015-08-10
79,1423.31,1425.68,1408.32,1408.32,2015-08-11
80,1399.3,1404.15,1382.7,1404.15,2015-08-13
81,1404.24,1416.47,1399.39,1413.92,2015-08-14
82,1414.64,1418.69,1408.74,1408.74,2015-08-17
83,1371.88,1388.12,1362.31,1372.61,2015-08-18
84,1376.19,1383.3,1370.24,1379.12,2015-08-19
85,1372.66,1379.5,1370.04,1372.53,2015-08-20
86,1365.93,1369.84,1357.9,1365.61,2015-08-21
87,1334.62,1336.79,1301.06,1301.06,2015-08-24
88,1315.71,1323.88,1292.14,1323.88,2015-08-25
89,1314.91,1333.3,1314.86,1320.08,2015-08-26
90,1338.37,1359.23,1336.59,1358.03,2015-08-27
91,1374.36,1380.66,1358.76,1365.94,2015-08-28
92,1367.81,1382.41,1364.34,1382.41,2015-08-31
93,1381.64,1384.18,1361.77,1362.39,2015-09-01
94,1360.52,1375.72,1355.27,1372.45,2015-09-02
95,1379.78,1386.54,1378.93,1383.48,2015-09-03
96,1378.64,1381.68,1368.89,1370.75,2015-09-04
97,1368.28,1374.27,1365.7,1371.4,2015-09-07
98,1371.31,1379.92,1360.08,1379.32,2015-09-08
99,1390.17,1398.57,1385.89,1396.29,2015-09-09
100,1386.49,1396.16,1384.39,1396.16,2015-09-10
101,1399.3,1403.3,1381.48,1381.72,2015-09-11
102,1382.64,1385.12,1371.96,1377.15,2015-09-14
103,1377.33,1381.09,1368.31,1370.65,2015-09-15
104,1375.28,1382.42,1369.45,1381.8,2015-09-16
105,1387,1392.81,1384.62,1389.7,2015-09-17
106,1394,1397.77,1386.79,1390.32,2015-09-18
107,1384.76,1394.35,1382.44,1392.73,2015-09-21
108,1396.38,1397.29,1377.79,1379.32,2015-09-22
109,1372.43,1378.64,1364.73,1375.17,2015-09-23
110,1371.9,1375.83,1365.6,1372.35,2015-09-24
111,1375.31,1380.59,1368.43,1376.83,2015-09-25
112,1368.56,1369.1,1352.02,1352.13,2015-09-28
113,1342.36,1358.63,1341.3,1348.84,2015-09-29
114,1353.06,1356.62,1348.24,1349,2015-09-30
115,1353.92,1358.15,1344.96,1345.15,2015-10-01
116,1345.68,1351.03,1342,1346.35,2015-10-02
117,1354.11,1363.98,1353.73,1363.17,2015-10-05
118,1367.9,1372.56,1363.39,1370.69,2015-10-06
119,1376.47,1394.05,1373.59,1393.66,2015-10-07
120,1393.79,1401.84,1390,1392.15,2015-10-08
121,1404.68,1415.53,1403.54,1411.33,2015-10-09
122,1415.44,1417.51,1406.61,1412.49,2015-10-12
123,1408.33,1410.15,1399.52,1406.69,2015-10-13
124,1405.29,1414.85,1404.47,1405.08,2015-10-14
125,1413,1426.17,1412.36,1425.32,2015-10-15
126,1428.99,1429.54,1416.65,1418.38,2015-10-16
127,1421.61,1426.81,1413.34,1416.91,2015-10-19
128,1415.55,1424.07,1414.97,1418.63,2015-10-20
129,1421.63,1424.29,1412.28,1415.8,2015-10-21
130,1415.52,1417.89,1413.48,1416.14,2015-10-22
131,1429.03,1431.86,1423.24,1424.16,2015-10-26
132,1422.73,1428.78,1421.15,1424.05,2015-10-27
133,1422.97,1423.94,1407.02,1409.26,2015-10-28
134,1409.62,1411.29,1387.75,1390.04,2015-10-29
135,1391.41,1398.9,1389.83,1394.94,2015-10-30
136,1395.63,1413.57,1395.35,1413.34,2015-11-02
137,1419.45,1420.6,1408.53,1412.62,2015-11-03
138,1420.65,1425.36,1417.47,1423.42,2015-11-04
139,1421.23,1427.05,1412.51,1413.16,2015-11-05
140,1411.47,1416.42,1408.94,1414.54,2015-11-06
141,1412.15,1413.7,1401.77,1402.57,2015-11-09
142,1398.19,1403.26,1394.71,1398.38,2015-11-10
143,1398.58,1400.97,1389.94,1390.15,2015-11-11
144,1383.88,1387.75,1379.1,1384.29,2015-11-12
145,1380.34,1385.7,1379.1,1382.46,2015-11-13
146,1370.51,1388.81,1368.79,1388.62,2015-11-16
147,1396.54,1398.19,1388.76,1390.17,2015-11-17
148,1390.95,1394.28,1374.97,1376.82,2015-11-18
149,1384.19,1388.34,1381.41,1384.97,2015-11-19
150,1386.99,1396.33,1383.14,1393.84,2015-11-20
151,1397.27,1401.77,1393.99,1394.22,2015-11-23
152,1395.73,1400.2,1383.03,1384.92,2015-11-24
153,1388.53,1391.08,1377.88,1381.46,2015-11-25
154,1383.84,1386.13,1363.61,1365.81,2015-11-26
155,1364.17,1368.92,1359.96,1363.13,2015-11-27
156,1360.72,1369.99,1354.1,1359.7,2015-11-30
157,1363.13,1364.83,1353.08,1357.01,2015-12-01
158,1356.88,1364.96,1339.3,1339.45,2015-12-02
159,1332.6,1342.21,1325.86,1340.62,2015-12-03
160,1334.26,1337.73,1330.87,1333.57,2015-12-04
161,1323.85,1324.61,1306.2,1306.98,2015-12-08
162,1309.22,1316.19,1294.41,1297.82,2015-12-09
163,1297.1,1297.73,1278.3,1280.92,2015-12-11
164,1262.44,1270.04,1251.99,1267.61,2015-12-14
165,1276.96,1300.53,1273.29,1300.51,2015-12-15
166,1304.76,1308.54,1296.24,1299.12,2015-12-16
167,1297.16,1313.09,1296.25,1310.34,2015-12-17
168,1302.05,1302.39,1284.36,1284.92,2015-12-18
169,1271.28,1280.08,1262.28,1264.44,2015-12-21
170,1274.71,1278.94,1258.73,1261.66,2015-12-22
171,1270.47,1275.94,1266.25,1274.5,2015-12-23
172,1285.7,1287.1,1280.02,1284.15,2015-12-24
173,1286.66,1287.46,1275.43,1282.93,2015-12-25
174,1285.65,1287.39,1280.98,1285.87,2015-12-28
175,1281.9,1287.36,1276.47,1283.78,2015-12-29
176,1285.52,1294.84,1285.29,1288.02,2015-12-30
177,1286.26,1286.36,1260.96,1263.41,2016-01-04
178,1267.99,1270.07,1251.87,1253.34,2016-01-05
179,1250.14,1260.88,1247.89,1260.04,2016-01-06
180,1238.06,1244.04,1224.83,1224.83,2016-01-07
181,1231.88,1246.7,1228.18,1244.18,2016-01-08
182,1233.86,1235.18,1220.96,1234.5,2016-01-11
183,1232.16,1255.78,1231.92,1255.3,2016-01-12
184,1268.32,1279.21,1262.53,1278.61,2016-01-13
185,1264.93,1273.91,1260.41,1263.29,2016-01-14
186,1269.4,1273.82,1245.36,1245.85,2016-01-15
187,1234.8,1250.66,1231.32,1245.05,2016-01-18
188,1248.76,1269.98,1248.39,1266.01,2016-01-19
189,1253.43,1257.92,1244.94,1248.98,2016-01-20
190,1260.77,1263.67,1237.56,1245.61,2016-01-21
191,1260.53,1272.09,1254.8,1268.03,2016-01-22
192,1277.28,1283.51,1267.58,1267.7,2016-01-25
193,1261.3,1271.5,1259.35,1268.07,2016-01-26
194,1276.69,1286.16,1275.79,1278.29,2016-01-27
195,1284.21,1288.88,1274.53,1288.4,2016-01-28
196,1291.97,1301.01,1287.23,1300.98,2016-01-29
197,1300.85,1308.26,1293.27,1297.34,2016-02-01
198,1295.76,1300.1,1284.64,1285.3,2016-02-02
199,1277.38,1291.87,1275.41,1291.77,2016-02-03
200,1298.89,1301.87,1294.67,1297.11,2016-02-04
201,1303.97,1307.95,1300.24,1306.29,2016-02-05
202,1308.46,1313.29,1304.71,1307.57,2016-02-08
203,1300.34,1303.99,1294.6,1303.96,2016-02-09
204,1300.32,1306.35,1296.02,1304.74,2016-02-10
205,1300.37,1307.25,1280.74,1280.74,2016-02-11
206,1282.86,1286.2,1270.84,1276.49,2016-02-12
207,1287.05,1294.55,1284.89,1288.4,2016-02-15
208,1296.69,1298.71,1286.26,1289.36,2016-02-16
209,1287.25,1288.62,1275.72,1288.47,2016-02-17
210,1297.23,1301.33,1287.84,1294.59,2016-02-18
211,1295.01,1320.23,1293.48,1320.19,2016-02-19
212,1325.24,1329.24,1319.22,1325.79,2016-02-23
213,1323.01,1336.15,1320.91,1331.93,2016-02-24
214,1338.04,1338.98,1326.68,1333.42,2016-02-25
215,1338.48,1343.51,1335.74,1343.07,2016-02-26
216,1342.43,1343.94,1331.57,1332.37,2016-02-29
217,1335.52,1347.33,1331.55,1346.95,2016-03-01
218,1355.01,1372.46,1352.81,1365.31,2016-03-02
219,1371.46,1383.47,1369.94,1379.33,2016-03-03
220,1385.03,1389.24,1376.37,1379.53,2016-03-04
221,1386.53,1396.3,1385.91,1395.75,2016-03-07
222,1391.58,1397.75,1373.86,1374.62,2016-03-08
223,1371.35,1391.13,1366.81,1390.66,2016-03-09
224,1392.13,1392.49,1376.34,1379.06,2016-03-10
225,1385.27,1396.86,1385.26,1393.41,2016-03-11
226,1401.58,1407.21,1392.51,1394.27,2016-03-14
227,1389.67,1391.76,1380.23,1382.93,2016-03-15
228,1387.01,1392.24,1370.08,1377.8,2016-03-16
229,1388.09,1389.77,1379.96,1380.2,2016-03-17
230,1386.46,1388.7,1376.41,1382.96,2016-03-18
231,1384.72,1393.68,1380.16,1393.63,2016-03-21
232,1400.95,1402.03,1391.23,1397.2,2016-03-22
233,1396.24,1412.16,1393.16,1412.16,2016-03-23
234,1407.36,1412.8,1403.53,1405.41,2016-03-24
235,1407.43,1410.17,1394.53,1394.78,2016-03-25
236,1395.69,1399.22,1386.98,1389.01,2016-03-28
237,1389.04,1394.78,1386.29,1392.85,2016-03-29
238,1401.08,1419.72,1400.55,1410.29,2016-03-30
239,1406.85,1412.92,1402.01,1407.7,2016-03-31
240,1405.07,1406.24,1395.44,1400.72,2016-04-01
241,1399.59,1403.27,1396.42,1400.27,2016-04-04
242,1389.75,1390.11,1373.34,1373.59,2016-04-05
243,1375.19,1379.25,1356.68,1356.69,2016-04-07
244,1357.23,1370.68,1351.27,1369.64,2016-04-08
245,1370.31,1375.47,1364.96,1369.84,2016-04-11
246,1374.92,1386.04,1373.83,1385.42,2016-04-12
247,1387.08,1398.81,1384.39,1398.77,2016-04-18
248,1403.81,1417.96,1402.16,1416,2016-04-19
249,1416.78,1419.77,1407.97,1414.96,2016-04-20
250,1425.72,1432.25,1420.75,1423.9,2016-04-21
251,1425.27,1425.76,1410.81,1410.81,2016-04-22
252,1410.66,1413.99,1406.38,1408.71,2016-04-25
253,1408,1421.89,1405.55,1418.78,2016-04-26
254,1421.8,1423.15,1409.17,1411.84,2016-04-27
255,1416.35,1419.21,1396.16,1399.91,2016-04-28
256,1399.15,1404.61,1394.25,1404.61,2016-04-29
257,1403.53,1409.92,1397.12,1397.87,2016-05-03
258,1392.58,1393.56,1384.18,1390.7,2016-05-04
259,1389.78,1394.28,1381.66,1394.14,2016-05-09
260,1387.17,1393.62,1384.25,1390.13,2016-05-10
261,1391.15,1394.18,1382.27,1382.41,2016-05-11
262,1384.82,1399.39,1383.04,1399.31,2016-05-12
263,1400,1404.57,1394.25,1394.69,2016-05-13
264,1403.24,1406.03,1392.99,1397.63,2016-05-16
265,1405.3,1411.02,1402.43,1406.57,2016-05-17
266,1406.95,1410.04,1399.36,1400.5,2016-05-18
267,1400.78,1400.97,1384.12,1385.86,2016-05-19
268,1387.73,1388.88,1377.65,1381.69,2016-05-23
269,1381.5,1386.15,1376.74,1384.26,2016-05-24
270,1393.95,1398.35,1390.19,1397.63,2016-05-25
271,1398.68,1404.47,1398.08,1401.64,2016-05-26
272,1402.37,1412.67,1400.92,1412.67,2016-05-27
273,1422.43,1425.66,1418.81,1424.12,2016-05-30
274,1427.29,1428.29,1420.19,1424.28,2016-05-31
275,1423.26,1429.08,1415.73,1415.76,2016-06-01
276,1418.72,1429.93,1417.79,1424.06,2016-06-02
277,1430.23,1437.62,1426.8,1436.43,2016-06-03
278,1441.54,1446.43,1440.28,1443.42,2016-06-06
279,1448.39,1450.28,1440.23,1442.42,2016-06-07
280,1443.01,1446.46,1436.43,1445.54,2016-06-08
281,1449.62,1451.08,1435.2,1435.65,2016-06-09
282,1434.33,1438.66,1428.87,1429.21,2016-06-10
283,1419.38,1425.97,1414.89,1421.86,2016-06-13
284,1421.67,1429.63,1421.45,1428.1,2016-06-14
285,1430.87,1436.65,1425.57,1434.89,2016-06-15
286,1428.73,1429.74,1410.26,1411.19,2016-06-16
287,1415.99,1422.22,1412.33,1421.32,2016-06-17
288,1425.53,1426.87,1419.45,1421.99,2016-06-20
289,1422.79,1433.52,1421.36,1430.8,2016-06-21
290,1431.9,1434.4,1422.27,1424.68,2016-06-22
291,1425.41,1438.51,1418.59,1436.4,2016-06-23
292,1411.99,1416.15,1393.83,1413.19,2016-06-24
293,1411.71,1426.68,1410.08,1424.31,2016-06-27
294,1426.65,1437.82,1424.23,1437.42,2016-06-28
295,1445.41,1449.9,1441.54,1442.66,2016-06-29
296,1450.55,1452.08,1436.68,1444.99,2016-06-30
297,1452.83,1456.29,1448.88,1454.56,2016-07-04
298,1455.45,1459.8,1447.69,1450.07,2016-07-05
299,1444.54,1456.98,1443.97,1452.59,2016-07-06
300,1459.04,1464.1,1455.67,1456.72,2016-07-07
301,1456.73,1459.21,1449.87,1455.65,2016-07-08
302,1464.42,1470.57,1463.15,1468.39,2016-07-11
303,1473.32,1477.28,1466.42,1474.92,2016-07-12
304,1481.29,1483.14,1475.44,1477.61,2016-07-13
305,1479.44,1489.68,1475.97,1488.69,2016-07-14
306,1492.96,1498.13,1489.82,1492,2016-07-15
307,1500.52,1510.64,1499.19,1510.03,2016-07-20
308,1511.03,1517.59,1502.45,1502.7,2016-07-21
309,1502.76,1510.58,1497.32,1509.13,2016-07-22
310,1508.66,1516.95,1508.2,1512.66,2016-07-25
311,1513.69,1515.98,1501.56,1504.81,2016-07-26
312,1510.59,1517.73,1509.54,1515.4,2016-07-27
313,1516.64,1526.61,1510.57,1524.58,2016-07-28
314,1527.11,1530.35,1522.01,1524.07,2016-07-29
315,1531.94,1533.75,1511.65,1512.62,2016-08-01
316,1508.18,1511.83,1497.23,1497.51,2016-08-02
317,1496.38,1509.77,1493.88,1507.47,2016-08-03
318,1509.79,1514.29,1507.1,1507.93,2016-08-04
319,1515.93,1521.26,1513.07,1518.69,2016-08-05
320,1538.13,1543.36,1532.39,1542.26,2016-08-08
321,1545.06,1551.59,1542.06,1548.21,2016-08-09
322,1552.21,1554.31,1542.06,1548.13,2016-08-10
323,1548.81,1553.22,1544.1,1552.64,2016-08-11
324,1539.96,1558.32,1538.77,1549.11,2016-08-15
325,1552.76,1556.38,1532.86,1537.52,2016-08-16
326,1535.74,1539.89,1529.99,1531.63,2016-08-17
327,1536.25,1549.98,1535.18,1547.01,2016-08-18
328,1548.62,1551.46,1535.87,1538.76,2016-08-19
329,1537.4,1543.46,1535.57,1539.24,2016-08-22
330,1532.03,1541.01,1528.4,1540.06,2016-08-23
331,1541.07,1550.31,1538.2,1547.55,2016-08-24
332,1550.98,1554.9,1540.42,1544.1,2016-08-25
333,1546.04,1555.88,1545.41,1549.41,2016-08-26
334,1551.14,1553.56,1540.02,1544.15,2016-08-29
335,1548.14,1553.15,1546.04,1546.13,2016-08-30
336,1545.72,1548.71,1539.03,1548.44,2016-08-31
337,1549.21,1550.59,1539.71,1539.71,2016-09-01
338,1539.44,1540.97,1516.7,1521.48,2016-09-02
339,1526.28,1527.22,1477.28,1492.52,2016-09-05
340,1493.32,1502.53,1488.99,1496.9,2016-09-06
341,1500.81,1511.62,1487.2,1487.2,2016-09-07
342,1488.16,1490.24,1451.46,1455.38,2016-09-08
343,1453.6,1458.39,1435.67,1445.28,2016-09-09
344,1422.78,1432.37,1410.87,1411.85,2016-09-12
345,1431.52,1450.43,1429.62,1446.84,2016-09-13
346,1445.14,1459.89,1444.25,1458.19,2016-09-14
347,1460.8,1468.69,1457.07,1463.39,2016-09-15
348,1471.14,1479.07,1466.76,1479.07,2016-09-16
349,1482.58,1493.02,1481.19,1492.73,2016-09-19
350,1490.73,1491.16,1467.55,1473.78,2016-09-20
351,1481.23,1496.93,1480.23,1487.17,2016-09-21
352,1498.76,1506.7,1496.81,1505.99,2016-09-22
353,1505.77,1505.85,1485.14,1492.88,2016-09-23
354,1481.65,1492.21,1479.17,1490.14,2016-09-26
355,1493.55,1498.2,1488.78,1489.39,2016-09-27
356,1489.17,1491.2,1477.29,1479.58,2016-09-28
357,1491.37,1498.51,1488.26,1491.43,2016-09-29
358,1485.82,1490.14,1479.46,1483.21,2016-09-30
359,1490.11,1493.77,1487.62,1490.94,2016-10-03
360,1496.01,1511.06,1494.37,1509.78,2016-10-04
361,1512.79,1514.12,1505.87,1509.92,2016-10-05
362,1512.64,1518.23,1509.71,1513.86,2016-10-06
363,1513.18,1514.25,1501,1504.34,2016-10-07
364,1453.36,1470.84,1450.87,1457.02,2016-10-10
365,1465.79,1467.71,1431.7,1442.21,2016-10-11
366,1432.42,1435.29,1343.13,1406.18,2016-10-12
367,1387.03,1412.82,1356.79,1412.82,2016-10-13
368,1461.42,1480.47,1448.19,1477.61,2016-10-14
369,1470.54,1481.18,1463.19,1477.34,2016-10-17
370,1479.41,1482.17,1467.61,1477.54,2016-10-18
371,1471.78,1490.98,1470.51,1486.28,2016-10-19
372,1495.1,1498.04,1490.65,1492.73,2016-10-20
373,1494.61,1501.22,1491.63,1500.37,2016-10-21
374,1505.82,1508.89,1496.66,1506.47,2016-10-25
375,1505.99,1507.2,1492.11,1492.12,2016-10-26
376,1492.2,1500.99,1488.72,1498.36,2016-10-27
377,1500.72,1501.36,1491.32,1494.44,2016-10-28
378,1494.04,1497.64,1491.04,1495.72,2016-10-31
379,1500.15,1507.74,1499.66,1504.52,2016-11-01
380,1502.19,1502.57,1494.06,1498.65,2016-11-02
381,1499.14,1504.84,1493.05,1493.08,2016-11-03
382,1489.4,1491.44,1478.9,1485.7,2016-11-04
383,1496.06,1504.98,1495.14,1502.27,2016-11-07
384,1504.49,1510.99,1501.96,1509.84,2016-11-08
385,1498.81,1509.43,1486.32,1509.43,2016-11-09
386,1519.17,1522.63,1513,1514.26,2016-11-10
387,1508.62,1509.02,1493.93,1494.53,2016-11-11
388,1481.97,1483.29,1467.37,1469.23,2016-11-14
389,1474.06,1478.63,1463.31,1476.46,2016-11-15
390,1483.88,1486.45,1474.55,1474.64,2016-11-16
391,1477.11,1478.3,1467.36,1473.85,2016-11-17
392,1471.99,1475.9,1465.9,1473.86,2016-11-18
393,1476.82,1482.87,1472.65,1478.3,2016-11-21
394,1485.56,1489.29,1483.03,1485.68,2016-11-22
395,1491.02,1496.38,1488.38,1496.36,2016-11-23
396,1495.65,1497.62,1487.94,1490.11,2016-11-24
397,1494.26,1500.41,1493.55,1500.4,2016-11-25
398,1502.57,1505.48,1498.93,1500.78,2016-11-28
399,1507.59,1509.51,1494.51,1497.18,2016-11-29
400,1498.41,1511.87,1496.05,1510.24,2016-11-30
401,1519.66,1523.63,1510.64,1512.38,2016-12-01
402,1514.4,1518.29,1498.57,1501.66,2016-12-02
403,1506.48,1516.5,1503.15,1516.48,2016-12-06
404,1515.61,1523.45,1513.28,1520.53,2016-12-07
405,1524.2,1530.33,1523.73,1525.41,2016-12-08
406,1531.95,1532.84,1522.84,1526.32,2016-12-09
407,1528.16,1532.37,1521.42,1530.21,2016-12-13
408,1531.06,1531.84,1518.11,1521.25,2016-12-14
409,1516.2,1522.62,1514.68,1519.65,2016-12-15
410,1523.47,1527.58,1520.73,1522.51,2016-12-16
